Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;C;23;28;55;12;20.7;3.6;7.3;0.485;0.5;2;0.269;3;5.4;0.564;0.521;1.6;2.3;0.702;1.8;4.1;6;0.9;0.6;0.5;1.1;1.9;9.2
2;Steven Adams;C;29;15;42;42;27;3.7;6.3;0.597;0;0;0;3.7;6.2;0.599;0.597;1.1;3.1;0.364;5.1;6.5;11.5;2.3;0.9;1.1;1.9;2.3;8.6
3;Bam Adebayo;C;25;16;75;75;34.6;8;14.9;0.54;0;0.2;0.083;8;14.7;0.545;0.541;4.3;5.4;0.806;2.5;6.7;9.2;3.2;1.2;0.8;2.5;2.8;20.4
4;Ochai Agbaji;SG;22;29;59;22;20.5;2.8;6.5;0.427;1.4;3.9;0.355;1.4;2.7;0.532;0.532;0.9;1.2;0.812;0.7;1.3;2.1;1.1;0.3;0.3;0.7;1.7;7.9
5;Santi Aldama;PF;22;15;77;20;21.8;3.2;6.8;0.47;1.2;3.5;0.353;2;3.4;0.591;0.56;1.4;1.9;0.75;1.1;3.7;4.8;1.3;0.6;0.6;0.8;1.9;9
6;Nickeil Alexander-Walker;SG;24;0;59;3;15;2.2;5;0.444;1;2.7;0.384;1.2;2.3;0.515;0.547;0.7;1;0.667;0.3;1.5;1.7;1.8;0.5;0.4;0.9;1.5;6.2
6;Nickeil Alexander-Walker;SG;24;29;36;3;14.7;2.3;4.7;0.488;1;2.4;0.402;1.3;2.3;0.578;0.591;0.8;1.1;0.692;0.2;1.4;1.6;2.1;0.7;0.4;1.3;1.6;6.3
6;Nickeil Alexander-Walker;SG;24;18;23;0;15.5;2.1;5.4;0.384;1.1;3.1;0.361;1;2.3;0.415;0.488;0.6;0.9;0.619;0.3;1.5;1.8;1.4;0.3;0.3;0.4;1.3;5.9
7;Grayson Allen;SG;27;17;72;70;27.4;3.4;7.7;0.44;2;5.1;0.399;1.4;2.7;0.518;0.571;1.6;1.8;0.905;0.8;2.4;3.3;2.3;0.9;0.2;1;1.6;10.4
8;Jarrett Allen;C;24;6;68;68;32.6;5.9;9.2;0.644;0;0.1;0.1;5.9;9.1;0.653;0.645;2.4;3.3;0.733;3.3;6.5;9.8;1.7;0.8;1.2;1.4;2.3;14.3
9;Jose Alvarado;PG;24;19;61;10;21.5;3.3;8;0.411;1.4;4;0.336;1.9;4;0.488;0.496;1.1;1.3;0.813;0.5;1.9;2.3;3;1.1;0.2;1.3;2;9
10;Kyle Anderson;PF;29;18;69;46;28.4;3.7;7.2;0.509;0.6;1.5;0.41;3;5.7;0.536;0.553;1.4;2;0.735;1;4.4;5.3;4.9;1.1;0.9;1.5;2.1;9.4
11;Giannis Antetokounmpo;PF;28;17;63;63;32.1;11.2;20.3;0.553;0.7;2.7;0.275;10.5;17.6;0.596;0.572;7.9;12.3;0.645;2.2;9.6;11.8;5.7;0.8;0.8;3.9;3.1;31.1
12;Thanasis Antetokounmpo;SF;30;17;37;0;5.6;0.5;1.2;0.435;0;0.2;0;0.5;1;0.526;0.435;0.3;0.6;0.5;0.4;0.8;1.2;0.4;0.1;0.1;0.3;0.6;1.4
13;Cole Anthony;PG;22;22;60;4;25.9;4.6;10.2;0.454;1.3;3.4;0.364;3.4;6.7;0.5;0.516;2.5;2.8;0.894;0.8;4;4.8;3.9;0.6;0.5;1.5;2.6;13
14;OG Anunoby;SF;25;28;67;67;35.6;6.3;13.2;0.476;2.1;5.5;0.387;4.2;7.7;0.539;0.556;2.1;2.5;0.838;1.4;3.5;5;2;1.9;0.7;2;3;16.8
15;Ryan Arcidiacono;PG;28;0;20;4;8.6;0.5;1.9;0.243;0.4;1.2;0.348;0.1;0.7;0.071;0.351;0;0;0;0;0.8;0.8;1.2;0.3;0;0.4;0.9;1.3
15;Ryan Arcidiacono;PG;28;20;11;0;2.4;0.1;0.5;0.2;0.1;0.3;0.333;0;0.2;0;0.3;0;0;0;0;0.4;0.4;0.2;0.2;0;0.1;0.3;0.3
15;Ryan Arcidiacono;PG;28;25;9;4;16.2;0.9;3.6;0.25;0.8;2.2;0.35;0.1;1.3;0.083;0.359;0;0;0;0;1.2;1.2;2.3;0.3;0;0.7;1.6;2.6
16;Deni Avdija;SF;22;30;76;40;26.6;3.3;7.6;0.437;0.9;3.1;0.297;2.4;4.6;0.53;0.497;1.6;2.2;0.739;1;5.4;6.4;2.8;0.9;0.4;1.6;2.8;9.2
17;Deandre Ayton;C;24;24;67;67;30.4;7.8;13.2;0.589;0.1;0.4;0.292;7.7;12.9;0.597;0.592;2.3;3;0.76;2.6;7.4;10;1.7;0.6;0.8;1.8;2.8;18
18;Udoka Azubuike;C;23;29;36;4;10;1.6;2;0.819;0;0;0;1.6;2;0.819;0.819;0.2;0.6;0.35;0.9;2.4;3.3;0.3;0.2;0.4;0.5;0.9;3.5
19;Marvin Bagley III;C;23;9;42;25;23.6;4.8;9.1;0.529;0.5;1.6;0.288;4.4;7.5;0.579;0.554;1.9;2.6;0.75;2.2;4.2;6.4;0.9;0.5;0.7;1.1;1.9;12
20;Patrick Baldwin Jr.;SF;20;10;31;0;7.3;1.4;3.5;0.394;1;2.7;0.381;0.4;0.8;0.44;0.541;0.1;0.2;0.667;0;1.3;1.3;0.4;0.2;0.1;0.4;0.5;3.9
21;LaMelo Ball;PG;21;4;36;36;35.2;8.2;20;0.411;4;10.6;0.376;4.2;9.4;0.45;0.51;2.8;3.4;0.836;1.2;5.3;6.4;8.4;1.3;0.3;3.6;3.3;23.3
22;Mo Bamba;C;24;0;49;7;15.7;2.4;4.9;0.485;1;2.5;0.387;1.4;2.4;0.59;0.585;0.8;1.3;0.661;1.2;3.4;4.6;0.9;0.3;0.9;0.6;2.1;6.6
22;Mo Bamba;C;24;22;40;6;17;2.7;5.4;0.495;1.1;2.7;0.398;1.6;2.7;0.594;0.596;0.9;1.3;0.686;1.2;3.4;4.6;1.1;0.3;1;0.6;2.2;7.3
22;Mo Bamba;C;24;14;9;1;9.8;1.2;3;0.407;0.6;1.8;0.313;0.7;1.2;0.545;0.5;0.7;1.2;0.545;1.2;3.3;4.6;0.4;0.1;0.6;0.9;2.1;3.7
23;Paolo Banchero;PF;20;22;72;72;33.8;6.7;15.6;0.427;1.2;4;0.298;5.5;11.6;0.471;0.465;5.5;7.4;0.738;1.2;5.7;6.9;3.7;0.8;0.5;2.8;2.2;20
24;Desmond Bane;SG;24;15;58;58;31.7;7.8;16.2;0.479;2.9;7;0.408;4.9;9.2;0.534;0.568;3.1;3.5;0.883;0.7;4.3;5;4.4;1;0.4;2.2;2.6;21.5
25;Dalano Banton;PG;23;28;31;2;9;1.8;4.2;0.423;0.5;1.6;0.294;1.3;2.5;0.506;0.481;0.5;0.8;0.708;0.4;1.1;1.5;1.2;0.4;0.4;0.6;1.1;4.6
26;Dominick Barlow;SF;19;27;28;0;14.6;1.6;3.1;0.535;0;0.1;0;1.6;2.9;0.561;0.535;0.6;0.9;0.72;1.6;2;3.6;0.9;0.4;0.7;0.5;2;3.9
27;Harrison Barnes;PF;30;26;82;82;32.5;4.6;9.6;0.473;1.6;4.3;0.374;3;5.3;0.553;0.556;4.3;5;0.847;1.1;3.4;4.5;1.6;0.7;0.1;1;1.3;15
28;Scottie Barnes;PF;21;28;77;76;34.8;6;13.2;0.456;0.8;2.9;0.281;5.2;10.3;0.505;0.487;2.5;3.2;0.772;2.3;4.3;6.6;4.8;1.1;0.8;2;2.2;15.3
29;RJ Barrett;SG;22;20;73;73;33.9;7;16.1;0.434;1.7;5.3;0.31;5.3;10.8;0.495;0.485;4;5.4;0.74;0.8;4.2;5;2.8;0.4;0.2;2.2;2.5;19.6
